x,y,chainage_m,dist_m,dh_m,reliability
337053,3125101,29099,1785,-0.42,16
338093,3125101,29099,746,-3.57,12
338333,3125101,29099,506,0.34,18
339533,3125101,28458,497,0.23,28
341693,3125101,27973,2292,0.09,33
342013,3125101,27973,2596,-0.06,27
342093,3125101,27973,2673,0.50,13
342173,3125101,27973,2750,-45.68,19
342733,3125101,27973,3292,0.58,50
342893,3125101,26016,3432,0.24,35
342973,3125101,26016,3493,0.54,29
343053,3125101,26016,3555,6.30,13
343853,3125101,26016,4209,0.40,75
332573,3125021,29099,6265,-0.50,35
332653,3125021,29099,6185,-0.90,29
332733,3125021,29099,6105,-31.45,19
332813,3125021,29099,6025,-0.55,50
333053,3125021,29099,5785,-0.75,49
333213,3125021,29099,5625,-0.71,68
333293,3125021,29099,5545,-0.93,26
333453,3125021,29099,5385,10.22,15
333613,3125021,29099,5225,-0.56,53
333693,3125021,29099,5145,2.85,52
333773,3125021,29099,5065,-8.07,54
333933,3125021,29099,4905,-0.51,26
334093,3125021,29099,4745,-0.92,18
334333,3125021,29099,4505,-0.41,69
334413,3125021,29099,4425,-0.63,80
334573,3125021,29099,4265,-0.63,59
334653,3125021,29099,4185,-0.82,16
334733,3125021,29099,4105,-0.58,21
335053,3125021,29099,3785,-0.51,56
335213,3125021,29099,3626,-0.44,43
335293,3125021,29099,3546,-0.56,52
336333,3125021,29099,2506,4.44,30
336493,3125021,29099,2346,-0.51,33
336893,3125021,29099,1946,-52.22,20
337133,3125021,29099,1706,47.36,23
337213,3125021,29099,1626,-0.50,30
337373,3125021,29099,1466,-26.12,13
337853,3125021,29099,987,-0.38,25
337933,3125021,29099,907,49.85,22
338013,3125021,29099,827,-0.03,33
338173,3125021,29099,667,-0.14,29
338413,3125021,29099,428,-0.21,22
339133,3125021,28942,268,-30.95,15
339293,3125021,28627,398,-0.39,31
339533,3125021,28627,552,34.35,18
339933,3125021,28288,833,20.41,26
341853,3125021,27973,2469,0.13,43
342093,3125021,27973,2697,0.46,25
342653,3125021,27973,3234,0.50,45
342733,3125021,27973,3311,0.77,22
342813,3125021,27973,3389,10.08,59
342893,3125021,27973,3466,0.10,22
343053,3125021,26016,3606,0.68,23
344013,3125021,26016,4388,0.70,50
332413,3124941,29219,6425,-0.65,79
332493,3124941,29219,6345,-1.60,40
332573,3124941,29219,6265,-0.26,26
332733,3124941,29219,6105,-0.45,60
332973,3124941,29219,5865,-0.16,25
333213,3124941,29219,5625,-36.08,44
333293,3124941,29219,5545,-0.86,47
333373,3124941,29219,5465,2.21,13
333613,3124941,29219,5225,-0.43,30
333693,3124941,29219,5145,-0.48,13
333773,3124941,29219,5065,-0.58,12
333933,3124941,29219,4905,-0.42,46
334093,3124941,29219,4745,-0.82,37
334253,3124941,29219,4585,-0.36,67
334333,3124941,29219,4505,-0.31,62
334493,3124941,29219,4345,-0.36,52
334653,3124941,29219,4185,-0.63,63
334733,3124941,29219,4105,-0.49,36
334813,3124941,29219,4025,-0.70,71
335053,3124941,29219,3785,-0.76,47
335133,3124941,29219,3705,-0.80,35
335213,3124941,29219,3625,-0.41,60
336333,3124941,29219,2505,-27.51,20
336493,3124941,29219,2345,-0.47,41
336573,3124941,29219,2265,-0.33,31
336893,3124941,29219,1945,-0.38,24
336973,3124941,29219,1865,-0.10,27
337133,3124941,29219,1705,0.03,19
337453,3124941,29219,1385,-0.10,29
337533,3124941,29219,1305,-22.32,13
337613,3124941,29219,1225,-0.54,24
337693,3124941,29219,1145,-0.50,60
337933,3124941,29219,905,-0.05,57
338093,3124941,29219,745,0.15,25
338253,3124941,29219,585,-0.27,30
338333,3124941,29219,505,-0.29,25
338413,3124941,29219,425,-26.85,33
338733,3124941,29219,106,-0.38,18
339053,3124941,29364,188,-6.02,44
339533,3124941,28627,606,45.56,13
339613,3124941,28627,665,-0.13,19
339693,3124941,28458,722,0.29,40
341373,3124941,27973,2058,0.40,14
341773,3124941,27973,2423,0.37,25
342013,3124941,27973,2647,0.05,51
342733,3124941,27973,3332,0.49,41
343533,3124941,26016,4034,0.87,48
344173,3124941,26016,4566,0.86,41
344253,3124941,26016,4634,0.34,22
332493,3124861,29219,6346,2.20,67
332573,3124861,29219,6266,-0.77,54
332653,3124861,29219,6186,-0.33,22
332733,3124861,29219,6106,-0.67,60
332813,3124861,29219,6026,-0.65,65
333053,3124861,29219,5786,-1.64,58
333293,3124861,29219,5546,-0.95,52
333693,3124861,29219,5146,-0.35,15
333853,3124861,29219,4986,8.04,65
333933,3124861,29219,4906,-0.92,29
334093,3124861,29219,4746,-0.45,71
334413,3124861,29219,4426,-0.50,84
334493,3124861,29219,4346,-7.40,25
334573,3124861,29219,4266,-0.61,52
334653,3124861,29219,4186,-29.50,20
334733,3124861,29219,4106,-0.41,76
334813,3124861,29219,4026,-0.53,13
334973,3124861,29219,3866,-0.51,27
335133,3124861,29219,3706,6.76,39
336573,3124861,29219,2267,-0.56,60
336653,3124861,29219,2187,-0.23,75
336733,3124861,29219,2107,-1.94,30
336973,3124861,29219,1867,-0.45,23
337053,3124861,29219,1788,1.83,68
337213,3124861,29219,1628,-0.09,18
337293,3124861,29219,1548,-0.47,34
337373,3124861,29219,1468,-9.09,56
337453,3124861,29219,1388,-0.33,68
337693,3124861,29219,1149,0.16,44
338093,3124861,29219,751,31.63,20
338413,3124861,29219,435,0.07,77
338493,3124861,29219,357,-14.00,45
338733,3124861,29219,140,-2.74,15
338973,3124861,29364,80,-29.84,23
339213,3124861,29364,316,0.21,38
