chainage_m,x_utm45,y_utm45,lon,lat,elev_m
6262,352847.8,3132303.6,85.49917,28.30861,3467.9
6304,352817.8,3132333.6,85.49886,28.30888,3464.1
6334,352817.8,3132363.6,85.49886,28.30915,3461.0
6377,352787.8,3132393.6,85.49855,28.30942,3459.2
6407,352787.8,3132423.6,85.49854,28.30969,3456.2
6449,352757.8,3132453.6,85.49823,28.30995,3452.2
6479,352757.8,3132483.6,85.49823,28.31022,3451.0
6522,352727.8,3132513.6,85.49792,28.31049,3448.0
6564,352697.8,3132543.6,85.49761,28.31076,3446.2
6594,352697.8,3132573.6,85.49761,28.31103,3444.7
6637,352667.8,3132603.6,85.49730,28.31130,3444.0
6679,352637.8,3132633.6,85.49699,28.31157,3443.4
6721,352607.8,3132663.6,85.49668,28.31183,3441.7
6764,352577.8,3132693.6,85.49637,28.31210,3438.5
6806,352547.8,3132723.6,85.49606,28.31237,3436.2
6849,352517.8,3132753.6,85.49575,28.31263,3431.9
6891,352487.8,3132783.6,85.49544,28.31290,3429.4
6934,352457.8,3132813.6,85.49513,28.31317,3425.5
6964,352427.8,3132813.6,85.49482,28.31317,3420.5
7006,352397.8,3132843.6,85.49451,28.31343,3418.2
7036,352367.8,3132843.6,85.49421,28.31343,3413.6
7078,352337.8,3132873.6,85.49390,28.31370,3408.6
7108,352307.8,3132873.6,85.49359,28.31369,3400.4
7138,352277.8,3132873.6,85.49329,28.31369,3394.1
7168,352247.8,3132873.6,85.49298,28.31369,3389.6
7211,352217.8,3132903.6,85.49267,28.31395,3382.4
7253,352187.8,3132933.6,85.49236,28.31422,3373.8
7283,352157.8,3132933.6,85.49205,28.31422,3366.0
7326,352127.8,3132963.6,85.49174,28.31449,3371.7
7368,352097.8,3132993.6,85.49143,28.31475,3361.5
7411,352067.8,3133023.6,85.49113,28.31502,3336.3
7453,352037.8,3133053.6,85.49082,28.31529,3322.1
7495,352007.8,3133083.6,85.49051,28.31555,3304.6
7538,351977.8,3133113.6,85.49020,28.31582,3284.9
7580,351947.8,3133143.6,85.48989,28.31609,3267.3
7623,351917.8,3133173.6,85.48958,28.31636,3257.7
7665,351887.8,3133203.6,85.48927,28.31662,3246.0
7708,351857.8,3133233.6,85.48896,28.31689,3236.4
7738,351827.8,3133233.6,85.48865,28.31689,3227.0
7780,351797.8,3133263.6,85.48834,28.31716,3216.6
7822,351767.8,3133293.6,85.48803,28.31742,3211.9
7852,351767.8,3133323.6,85.48803,28.31769,3205.8
7882,351767.8,3133353.6,85.48802,28.31796,3198.3
7912,351767.8,3133383.6,85.48802,28.31823,3190.9
7942,351767.8,3133413.6,85.48802,28.31851,3184.1
7985,351797.8,3133443.6,85.48832,28.31878,3176.2
8015,351797.8,3133473.6,85.48831,28.31905,3168.2
8057,351827.8,3133503.6,85.48862,28.31932,3161.4
8100,351857.8,3133533.6,85.48892,28.31960,3156.5
8130,351857.8,3133563.6,85.48891,28.31987,3151.0
8160,351857.8,3133593.6,85.48891,28.32014,3144.9
8202,351827.8,3133623.6,85.48860,28.32041,3134.8
8232,351827.8,3133653.6,85.48860,28.32068,3127.7
8275,351797.8,3133683.6,85.48829,28.32095,3122.9
8305,351797.8,3133713.6,85.48828,28.32122,3116.1
8347,351767.8,3133743.6,85.48797,28.32148,3111.5
8377,351767.8,3133773.6,85.48797,28.32175,3106.7
8419,351737.8,3133803.6,85.48766,28.32202,3101.9
8449,351737.8,3133833.6,85.48766,28.32229,3096.1
8492,351707.8,3133863.6,85.48735,28.32256,3091.3
8534,351677.8,3133893.6,85.48704,28.32283,3089.4
8577,351647.8,3133923.6,85.48673,28.32309,3086.7
8619,351617.8,3133953.6,85.48642,28.32336,3078.1
8662,351587.8,3133983.6,85.48611,28.32363,3070.2
8704,351557.8,3134013.6,85.48580,28.32390,3064.7
8734,351557.8,3134043.6,85.48579,28.32417,3058.3
8776,351527.8,3134073.6,85.48548,28.32443,3050.8
8806,351527.8,3134103.6,85.48548,28.32470,3049.4
8849,351497.8,3134133.6,85.48517,28.32497,3044.8
8891,351467.8,3134163.6,85.48486,28.32524,3034.8
8934,351437.8,3134193.6,85.48455,28.32551,3030.5
8964,351437.8,3134223.6,85.48455,28.32578,3026.9
8994,351437.8,3134253.6,85.48454,28.32605,3024.7
9024,351437.8,3134283.6,85.48454,28.32632,3021.9
9054,351437.8,3134313.6,85.48454,28.32659,3021.0
9084,351437.8,3134343.6,85.48453,28.32686,3020.2
9114,351437.8,3134373.6,85.48453,28.32713,3015.7
9144,351437.8,3134403.6,85.48452,28.32740,3009.2
9186,351467.8,3134433.6,85.48483,28.32768,3003.3
9229,351497.8,3134463.6,85.48513,28.32795,2992.0
9271,351527.8,3134493.6,85.48543,28.32822,2981.5
9301,351527.8,3134523.6,85.48543,28.32849,2975.3
9331,351527.8,3134553.6,85.48542,28.32877,2967.7
9361,351527.8,3134583.6,85.48542,28.32904,2960.7
9391,351527.8,3134613.6,85.48542,28.32931,2956.0
9421,351527.8,3134643.6,85.48541,28.32958,2951.2
9463,351557.8,3134673.6,85.48571,28.32985,2946.3
9493,351557.8,3134703.6,85.48571,28.33012,2940.4
9523,351557.8,3134733.6,85.48571,28.33039,2935.8
9553,351557.8,3134763.6,85.48570,28.33066,2931.9
9583,351557.8,3134793.6,85.48570,28.33093,2928.1
9613,351557.8,3134823.6,85.48569,28.33121,2924.0
9643,351557.8,3134853.6,85.48569,28.33148,2919.0
9673,351557.8,3134883.6,85.48569,28.33175,2916.1
9716,351527.8,3134913.6,85.48538,28.33201,2912.3
9758,351497.8,3134943.6,85.48507,28.33228,2906.2
9801,351467.8,3134973.6,85.48476,28.33255,2904.0
9843,351437.8,3135003.6,85.48445,28.33282,2895.4
9873,351407.8,3135003.6,85.48414,28.33281,2888.9
9916,351377.8,3135033.6,85.48383,28.33308,2885.0
9946,351347.8,3135033.6,85.48353,28.33308,2876.2
9976,351317.8,3135033.6,85.48322,28.33307,2873.8
10006,351287.8,3135033.6,85.48291,28.33307,2873.4
10048,351257.8,3135003.6,85.48261,28.33280,2868.7
10078,351227.8,3135003.6,85.48231,28.33279,2862.7
10108,351197.8,3135003.6,85.48200,28.33279,2858.3
10138,351167.8,3135003.6,85.48169,28.33279,2853.8
10168,351137.8,3135003.6,85.48139,28.33278,2851.6
10198,351107.8,3135003.6,85.48108,28.33278,2848.7
10228,351077.8,3135003.6,85.48078,28.33278,2847.2
10270,351047.8,3135033.6,85.48047,28.33304,2842.5
10300,351017.8,3135033.6,85.48016,28.33304,2837.6
10330,350987.8,3135033.6,85.47985,28.33304,2833.9
10360,350957.8,3135033.6,85.47955,28.33303,2828.5
10390,350927.8,3135033.6,85.47924,28.33303,2826.8
10433,350897.8,3135003.6,85.47894,28.33275,2824.8
10463,350867.8,3135003.6,85.47863,28.33275,2821.6
10493,350837.8,3135003.6,85.47833,28.33275,2819.7
10523,350807.8,3135003.6,85.47802,28.33274,2819.8
10565,350777.8,3135033.6,85.47771,28.33301,2816.5
10595,350807.8,3135033.6,85.47802,28.33302,2820.8
10638,350777.8,3135003.6,85.47772,28.33274,2822.4
10680,350747.8,3135033.6,85.47741,28.33301,2821.5
10710,350717.8,3135033.6,85.47710,28.33300,2823.6
